# MIR backend coverage baseline — generated 2026-08-23 from origin/main 267debf50f0
# format: <backend>	<variant>   (one line per handled case arm)
MirToLlvm_core	MirWarpSync
MirToLlvm_core	Move
MirToLlvm_core	Nop
MirToLlvm_core	Parallel
MirToLlvm_core	PipeForward
MirToLlvm_core	PredicatedAdd
MirToLlvm_core	PredicatedFma
MirToLlvm_core	PredicatedMul
MirToLlvm_core	Receive
MirToLlvm_core	Ref
MirToLlvm_core	ResultMatchSemantic
MirToLlvm_core	ScalableVecFence
MirToLlvm_core	Send
MirToLlvm_core	SetField
MirToLlvm_core	SimdAddF32x4
MirToLlvm_core	SimdAddF32x8
MirToLlvm_core	SimdAddF64x4
MirToLlvm_core	SimdAddI32x4
MirToLlvm_core	SimdAddI32x8
MirToLlvm_core	SimdAndI32x4
MirToLlvm_core	SimdAndI32x8
MirToLlvm_core	SimdDivF32x4
MirToLlvm_core	SimdDivF32x8
MirToLlvm_core	SimdDivF64x4
MirToLlvm_core	SimdFmaF32x4
MirToLlvm_core	SimdFmaF32x8
MirToLlvm_core	SimdFmaF64x4
MirToLlvm_core	SimdHaddF32x4
MirToLlvm_core	SimdHmaxF32x4
MirToLlvm_core	SimdHminF32x4
MirToLlvm_core	SimdMulF32x4
MirToLlvm_core	SimdMulF32x8
MirToLlvm_core	SimdMulF64x4
MirToLlvm_core	SimdMulI32x4
MirToLlvm_core	SimdMulI32x8
MirToLlvm_core	SimdOrI32x4
MirToLlvm_core	SimdOrI32x8
MirToLlvm_core	SimdShlI32x4
MirToLlvm_core	SimdShlI32x8
MirToLlvm_core	SimdShrI32x4
MirToLlvm_core	SimdShrI32x8
MirToLlvm_core	SimdSubF32x4
MirToLlvm_core	SimdSubF32x8
MirToLlvm_core	SimdSubF64x4
MirToLlvm_core	SimdSubI32x4
MirToLlvm_core	SimdSubI32x8
MirToLlvm_core	SimdXorI32x4
MirToLlvm_core	SimdXorI32x8
MirToLlvm_core	Spawn
MirToLlvm_core	Store
MirToLlvm_core	TransferIn
MirToLlvm_core	TransferOut
MirToLlvm_core	UnaryOp
MirToLlvm_core	VhdlConcat
MirToLlvm_core	VhdlPortMap
MirToLlvm_core	VhdlProcess
MirToLlvm_core	VhdlResize
MirToLlvm_core	VhdlSignalAssign
MirToLlvm_core	VhdlSlice
