_pt_index	private helper	src-only	src=4 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_pte_is_present	private helper	src-only	src=4 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_pte_phys_addr	private helper	src-only	src=6 test=0	src/os/kernel/arch/riscv32/paging.spl;src/os/kernel/arch/riscv64/paging.spl;src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_push_byte	private helper	src-only	src=6 test=0	examples/09_embedded/simple_os/arch/riscv64/x25519_probe_entry.spl;src/os/apps/sshd/ssh_cipher.spl;src/os/apps/sshd/ssh_cipher_live.spl;src/os/crypto/curve25519_smalllimb.spl;src/os/tls12/tls12_bytes.spl;src/os/tls13/_Tls13/context_io.spl;src/os/tls13/handshake13.spl
_push_u16	private helper	mixed	src=6 test=9	examples/09_embedded/simple_os/arch/x86_64/tls_system_test_entry.spl;src/lib/common/archive/zip.spl;src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_generator.spl;src/lib/nogc_sync_mut/game2d/ports/doomgeneric.spl;src/os/port/disk_image.spl;src/os/services/vfs/vfs_service.spl;test/01_unit/os/kernel/loader/fs_exec_live_scheduler_spec.spl
_push_u32	private helper	mixed	src=11 test=10	examples/09_embedded/simple_os/arch/x86_64/tls_system_test_entry.spl;src/lib/common/archive/zip.spl;src/lib/nogc_sync_mut/composition/cli_command_wire.spl;src/lib/nogc_sync_mut/composition/cli_provider_wire.spl;src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_generator.spl;src/lib/nogc_sync_mut/game2d/ports/doomgeneric.spl;src/os/kernel/fd_io.spl
_push_u64	private helper	mixed	src=8 test=10	src/lib/common/contracts/execution/simpleos_primary_tool_receipt_v1.spl;src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_generator.spl;src/os/kernel/fd_io.spl;src/os/services/launcher/launcher_app_launch_wire.spl;src/os/services/vfs/vfs_service.spl;src/os/services/wm/wm_codec.spl;src/os/userlib/_Window/ipc_helpers.spl
_read_cr3	private helper	src-only	src=3 test=0	src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_read_i64	private helper	src-only	src=2 test=0	src/lib/nogc_sync_mut/io/resource_scope.spl;src/os/services/vfs/vfs_service.spl
_read_pte	private helper	src-only	src=7 test=0	src/os/kernel/arch/arm64/paging.spl;src/os/kernel/arch/riscv32/paging.spl;src/os/kernel/arch/riscv64/paging.spl;src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_read_u16	private helper	src-only	src=5 test=0	src/lib/common/image/image_info.spl;src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_reader.spl;src/lib/skia/entity/glyph_outline.spl;src/os/services/vfs/vfs_service.spl
