name	class	decls	subsystems	variant_sets	declarations
TransferMode	DIVERGENT	3	3	2	./app/io/ftp_ffi.spl:72 ./compiler_rust/lib/std/src/host/common/net/ftp.spl:11 ./lib/nogc_sync_mut/io/ftp_sffi.spl:72
HirExprKind	DIVERGENT	7	2	6	./compiler/20.hir/hir_definitions.spl:437 ./compiler/30.types/bidir_phase1a.spl:98 ./compiler/30.types/bidir_phase1b.spl:48 ./compiler/30.types/bidir_phase1c.spl:81 ./compiler/30.types/bidir_phase1d.spl:74 ./compiler_rust/lib/std/src/hir/lower.spl:192 ./compiler_rust/lib/std/src/hir/types.spl:357
Type	DIVERGENT	7	2	5	./compiler/20.hir/inference/types.spl:31 ./compiler_rust/lib/std/src/type_checker/type_inference.spl:8 ./compiler_rust/lib/std/src/type_checker/type_inference_simple.spl:6 ./compiler_rust/lib/std/src/type_checker/type_inference_v2.spl:5 ./compiler_rust/lib/std/src/type_checker/type_inference_v3.spl:5 ./compiler_rust/lib/std/src/type_checker/type_inference_v4.spl:43 ./compiler_rust/lib/std/src/verification/models/type_inference.spl:22
Capability	DIVERGENT	5	2	5	./compiler/99.loader/module_resolver/types.spl:46 ./lib/common/ui/capability.spl:3 ./lib/nogc_sync_mut/fs_driver/capability.spl:9 ./lib/nogc_sync_mut/security/enforcement/capability.spl:16 ./lib/nogc_sync_mut/storage/capability.spl:9
JointType	DIVERGENT	5	2	2	./app/io/rapier2d_ffi.spl:408 ./app/io/rapier2d_sffi.spl:408 ./lib/nogc_async_mut/engine/physics/joints.spl:273 ./lib/nogc_sync_mut/engine/physics/joints.spl:273 ./lib/nogc_sync_mut/io/rapier2d_sffi.spl:408
Option	DIVERGENT	5	2	2	./compiler/30.types/bidir_phase1b.spl:225 ./compiler/30.types/bidir_phase1c.spl:49 ./compiler/30.types/bidir_phase1d.spl:66 ./compiler/30.types/bidirectional_types.spl:105 ./compiler_rust/lib/std/src/core/option.spl:4
ActorState	DIVERGENT	4	2	3	./app/interpreter/async_runtime/actor_scheduler.spl:108 ./lib/nogc_async_mut/actor/actor.spl:151 ./lib/nogc_async_mut/actor_scheduler.spl:32 ./lib/nogc_async_mut/actors/actor.spl:306
ArgType	DIVERGENT	4	2	2	./compiler_rust/lib/std/src/cli/types.spl:6 ./lib/gc_async_mut/cli/types.spl:8 ./lib/nogc_async_mut/cli/types.spl:8 ./lib/nogc_sync_mut/cli/types.spl:8
CallType	DIVERGENT	4	2	3	./compiler_rust/lib/std/src/diagram/recorder.spl:14 ./compiler_rust/lib/std/src/spec/diagram.spl:110 ./lib/nogc_async_mut/diagram/__init__.spl:12 ./lib/nogc_sync_mut/diagram/__init__.spl:12
ErrorCategory	DIVERGENT	4	2	3	./compiler_rust/lib/std/src/mcp/core/error_handler.spl:15 ./lib/nogc_async_mut/failsafe/core.spl:37 ./lib/nogc_async_mut/mcp/error_handler.spl:9 ./lib/nogc_sync_mut/failsafe/core.spl:37
