   5721 0	OK
      6 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering NodeStore<N>D.get_node
      6 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `common.core.collections`: Module resolution error: Semantic
      6 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Import, found LBrace 
      6 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found Identifier { name: "Some", pattern: TypeName } 
      6 1	error: compile failed (<P>): lint: error: runtime family `nogc_sync_mut` must not import `std.gpu.engine<N>d.sffi_dispatch` (nogc_imports_gc
      6 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut_noalloc` must not import `std.nogc_sync_mut.io.process_ops` (noallo
      6 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.io.time_ops` (higher_layer_runt
      6 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.io.env_ops` (gc_imports_nogc_fami
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: to_int") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_env_get") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: request_create_headers") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: os") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: mul_scalar") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Map") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: io") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: byte_at") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: arch_arm<N>_sandbox_pte_bits_from_lowering") 
      5 1	error: compile failed (<P>): semantic: <P>: struct `ZstdFrameHeader` has no field named `dict_id` 
      5 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering sort_by_z_index: struc
      5 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering Lexer.pop_pending: str
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected pattern, found Colon 
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Fn, found With 
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Plus 
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Comma, found Identifier { name: "N", pattern: Constant } 
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found Extends 
      5 1	error: compile failed (<P>): parse: in "<P> Syntax error at <N>:<N>: reserved keyword 'actor' cannot be used as a parameter name 
      5 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.io.http_sffi` (higher_layer_run
      5 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.test_runner.gpu_mailbox` (gc_impo
      5 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.ptr.raw` (gc_imports_nogc_family)
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Version") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text_index_of") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text_hash") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text_byte_len") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sys_env_bool") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: str_last_index_of") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: str_index_of") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: starts_with") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: SecurityEvent") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_store_barrier") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_math_sqrt") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse_int") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: PackageBuild") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: name") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: make_no_param_tool") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: LspTransportConfig") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: list_run_ids") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_frame_command") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: extract_field") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: exec_memory_allocs_remove") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: env") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: E<N>_TITLE") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: dir_create_all") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: decode_stomp_header_value") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: crypto_text_to_bytes") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: count_changed_lines") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: CONNECT_FLAG_CLEAN_SESSION") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: append") 
      4 1	error: compile failed (<P>): semantic: <P>: MIR lowering: Unsupported HIR construct: unknown variant or method 'GreaterEq' on enum VersionCo
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering RigidBody.integrate: s
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering PackageUpgrade.run: st
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering PackageUninstall.run: 
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering PackageList.run: struc
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering cap_read_pixel: struct
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering AsyncTimelineBuilder.b
