file	line	annotation	has_reason
src/lib/common/torch/dyn_ffi_ops.spl	1	@allow(star_import) # reason: shim module, delegates all symbols to common torch implementation	yes
src/lib/common/pure/parser.spl	1	@allow(star_import) # reason: facade aggregator, re-exports submodule symbols	yes
src/lib/common/encoding/cose.spl	16	@allow(star_import, unnamed_duplicate_typed_args) # reason: facade re-export + positional API	yes
src/lib/common/functions.spl	1	@allow(star_import) # reason: facade aggregator, re-exports submodule symbols	yes
src/lib/common/jwt/claims.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/jwt/encode.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/jwt/sign.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/mcp_helpers/mod.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/set_utils.spl	1	@allow(star_import) # reason: facade aggregator, re-exports submodule symbols	yes
src/lib/common/skiplist_utils.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/common/tooling/easy_fix/rules_compiler.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/tooling/easy_fix/rules_helpers.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/tooling/easy_fix/rules_structural.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/chaos.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/collection_helpers.spl	1	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/search_utils.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/skiplist_stats.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/string_core.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/text_advanced.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/text.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/common/validation.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/gc_async_mut/svllm/model_executor/model_loader/safetensors.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/gc_async_mut/svllm/model_executor/model_loader/tensor_pack.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/gc_async_mut/gpu.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/handler_adapters/debug_adapter.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/handler_adapters/debug_log_adapter.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/handler_adapters/diag_adapter.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/api_tools.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/completions.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/debug_eval.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/debug_log_tools.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/diag_core.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/diag_edit_tools.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/fileio_json.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/fileio_protection.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut/mcp/fileio_simple.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/nogc_async_mut_noalloc/memory/refc_binary.spl	1	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/lib/text.spl	2	@allow(unnamed_duplicate_typed_args, star_import)	yes
src/lib/log.spl	19	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/compiler_rust/lib/std/examples/game_engine/physics_playground.spl	2	@allow(unnamed_duplicate_typed_args) # reason: positional API -- arg order is conventional	yes
src/compiler_rust/lib/std/src/cli/file.spl	10	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/cli/file.spl	355	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/cli/file.spl	360	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/json.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/core/json_serialize.spl	7	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/json_serialize.spl	57	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/json_serialize.spl	116	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	7	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/core/random.spl	40	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	50	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	68	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	97	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	118	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	129	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	175	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/core/random.spl	181	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/file/context.spl	8	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/file/mmap.spl	2	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/color.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	8	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	24	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	46	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	56	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	69	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	75	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	101	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	119	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	149	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	192	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	202	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	216	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	229	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	239	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	252	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/file_ops_common.spl	264	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/mmap_common.spl	8	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/mmap_common.spl	88	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/common/io/mmap_common.spl	98	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/host/sync_nogc_mut/io/fs/ops.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/host/sync_nogc_mut/io/fs/ops.spl	113	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/error.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/error.spl	34	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/error.spl	397	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/error.spl	406	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/transport.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/transport.spl	81	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms/transport.spl	88	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms_simple/error.spl	7	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms_simple/error.spl	18	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/lms_simple/transport.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/error_handler.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/error_handler.spl	39	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/error_handler.spl	240	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/logger.spl	9	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/logs.spl	7	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/logs.spl	233	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/markdown.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/markdown.spl	280	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/markdown.spl	465	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/protocol.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/protocol.spl	80	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/protocol.spl	91	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/protocol.spl	103	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/protocol.spl	311	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/safe_server.spl	7	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/safe_server.spl	18	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/safe_server.spl	120	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/core/server.spl	6	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/core/server.spl	18	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/lsp/mod.spl	16	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/lsp/mod.spl	25	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/mcp_extended.spl	7	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/mcp_extended.spl	103	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/mcp_formatting.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/mcp_formatting.spl	75	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/mcp_transform.spl	5	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/dependencies.spl	7	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/dependencies.spl	105	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/formatter.spl	5	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/formatter.spl	12	@allow(primitive_api)	yes
