category	file	line	symbol_or_function
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/handlers/references.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/visibility.spl	1	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/lsp_handlers.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/lsp_json.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/lsp_protocol.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/lsp/lsp_query.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/daemon_sdk/protocol.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/sdoctest/discovery.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/sdoctest/extractor.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/sdoctest/glob.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/sdoctest/runner.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/checkpoint.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/execution_strategy.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/rust_test_runner.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_db_compat.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_executor_composite_jit_generic.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_runner_async.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_runner_db.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_runner_main.spl	2	
star_import	src/lib/nogc_sync_mut/test_runner/doc_generator.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/test_runner/main.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/test_runner/runner_lifecycle.spl	1	facade aggregator: imports submodule symbols for re-export
unnamed_duplicate_typed_args, star_import	src/lib/nogc_sync_mut/test_runner/test_db_core.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_runner_coverage.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_executor_composite.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/test_runner/test_executor_parsing.spl	2	
star_import	src/lib/nogc_sync_mut/terminal/connection.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/terminal/relay_terminal.spl	2	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/terminal/ssh_terminal.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/terminal/t32_swd_terminal.spl	1	facade aggregator: imports submodule symbols for re-export
