symbol	class	scoped_callsites	declaring_file
future_free	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
future_map	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
future_poll	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
future_poll_any	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
future_then	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
generate_sequence_ffi	DEAD_DECLARATION	0	test/01_unit/app/diagram/call_flow_profiling_spec.spl
get_kernel_syscall_entry_addr	GENUINELY_MISSING	2	src/os/kernel/arch/x86_64/cpu.spl
get_time	SHADOWED_BY_SPL_FN	6	src/compiler_rust/lib/std/examples/vulkan_gui_demo.spl
glob_find	external_library_symbol	2	src/lib/nogc_async_mut/fs.spl
glob_matches	external_library_symbol	2	src/lib/nogc_async_mut/fs.spl
global_id	external_library_symbol	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
global_id_dim	external_library_symbol	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
global_size	external_library_symbol	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
global_size_dim	external_library_symbol	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
gpu_broadcast	GENUINELY_MISSING	1	src/os/ml/autograd.spl
gpu_relu_mask	GENUINELY_MISSING	1	src/os/ml/autograd.spl
gpu_transpose	GENUINELY_MISSING	2	src/os/ml/autograd.spl
group_id	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
group_id_dim	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
header_size	GENUINELY_MISSING	15	src/lib/gc_async_mut/gc.spl
http_request	SHADOWED_BY_SPL_FN	3	src/lib/gc_async_mut/net/ffi.spl
i64_to_ptr	GENUINELY_MISSING	3	src/lib/gc_async_mut/runtime_value.spl
is_little_endian	GENUINELY_MISSING	20	src/lib/common/binary_io.spl
is_nan_bits	GENUINELY_MISSING	3	src/lib/gc_async_mut/runtime_value.spl
json_parse	SHADOWED_BY_SPL_FN	1	src/app/ffi_gen.specs/lib_wrappers.spl
json_stringify	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
json_stringify_pretty	DEAD_DECLARATION	0	src/app/ffi_gen.specs/lib_wrappers.spl
lane_definitely_absent_at_probe	GENUINELY_MISSING	1	test/fixtures/extern_unimplemented_weak_stub/at_negative/main.spl
lane_definitely_absent_probe	GENUINELY_MISSING	2	test/fixtures/extern_unimplemented_weak_stub/negative/main.spl
lane_id	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
local_id	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
local_id_dim	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
local_size	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
local_size_dim	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/core.spl
log_raw_println	SHADOWED_BY_SPL_FN	281	src/os/kernel/arch/riscv64/boot.spl
lsp_diagnostics	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/mcp/lsp/mod.spl
lsp_document_symbols	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/mcp/lsp/mod.spl
lsp_find_references	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/mcp/lsp/mod.spl
lsp_go_to_definition	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/mcp/lsp/mod.spl
lsp_hover	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/mcp/lsp/mod.spl
lua_createtable	GENUINELY_MISSING	2	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_gettop	DEAD_DECLARATION	0	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_pushcfunction	GENUINELY_MISSING	1	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_pushinteger	DEAD_DECLARATION	0	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_pushnumber	DEAD_DECLARATION	0	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_setfield	GENUINELY_MISSING	2	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_settop	GENUINELY_MISSING	1	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_tointeger	DEAD_DECLARATION	0	src/lib/nogc_sync_mut/lua/lua_sffi.spl
lua_tonumber	DEAD_DECLARATION	0	src/lib/nogc_sync_mut/lua/lua_sffi.spl
mem_fence	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/memory.spl
memory_init	SHADOWED_BY_SPL_FN	4	src/os/kernel/boot/limine_boot.spl
mmio_read16	SHADOWED_BY_SPL_FN	4	src/os/services/netstack/_NetstackService/ipc_handlers.spl
mmio_read32	SHADOWED_BY_SPL_FN	27	src/os/kernel/fd_io.spl
mmio_read64	SHADOWED_BY_SPL_FN	5	src/os/services/netstack/_NetstackService/ipc_handlers.spl
mmio_read8	SHADOWED_BY_SPL_FN	37	src/os/apps/sshd/ssh_pty.spl
mmio_write32	SHADOWED_BY_SPL_FN	2	src/os/kernel/pipe_compat.spl
mmio_write8	SHADOWED_BY_SPL_FN	7	src/os/kernel/fd_io.spl
monoio_block_on	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_configure_entries	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_get_num_cores	rust_source_feature_gated	3	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_get_stats	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_reset_stats	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_runtime_init	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_runtime_init_global	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_runtime_shutdown	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_runtime_shutdown_global	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_spawn_local	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/host/common/net/runtime.spl
monoio_tcp_accept	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_close	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/mcp/core/transport.spl
monoio_tcp_connect	rust_source_feature_gated	2	src/compiler_rust/lib/std/src/mcp/core/transport.spl
monoio_tcp_flush	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_listen	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_listener_close	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_local_addr	rust_source_feature_gated	2	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_peer_addr	rust_source_feature_gated	2	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_read	rust_source_feature_gated	3	src/compiler_rust/lib/std/src/mcp/core/transport.spl
monoio_tcp_set_keepalive	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_set_nodelay	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_shutdown	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/tcp.spl
monoio_tcp_write	rust_source_feature_gated	3	src/compiler_rust/lib/std/src/mcp/core/transport.spl
monoio_udp_bind	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_close	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_connect	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_join_multicast	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_leave_multicast	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_local_addr	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_recv	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
